Age Gap,Education,Economic Similarity,Social Similarities,Cultural Similarities,Social Gap,Common Interests,Religion Compatibility,No of Children from Previous Marriage,Desire to Marry,Independency,Relationship with the Spouse Family,Trading in,Engagement Time,Love,Commitment,Mental Health,The Sense of Having Children,Previous Trading,Previous Marriage,The Proportion of Common Genes,Addiction,Loyalty,Height Ratio,Good Income,Self Confidence,Relation with Non-spouse Before Marriage,Spouse Confirmed by Family,Divorce in the Family of Grade 1,Start Socializing with the Opposite Sex Age ,Divorce Probability
2.94649836,3.441363338,64.02005225,69.78564696,31.61925092,39.20248742,96.1310261,73.84940702,4.497381054,65.69354017,1.799274621,25.69833263,42.63925747,7.588204969,68.6180271,92.87599056,58.27490427,41.05876041,17.00419823,2.249317609,16.88461672,1.845261563,80.54388862,39.65481174,35.61930363,62.65269009,7.505523464,7.253242008,3.159295875,26.55014511,2.039056008
3.845625955,4.788688336,27.88750363,92.71739012,99.28570864,99.21179408,83.97001436,77.64812269,3.300564454,35.32124022,1.268363488,62.78188736,19.27707767,7.620469617,44.47848673,64.92546492,95.3418533,56.82431992,4.347331548,2.044526927,21.59066283,2.028903673,57.33537223,5.685529021,3.733482063,41.68963977,5.328479738,6.939860876,2.840675763,39.07760879,2.161449531
3.827465067,2.521672855,68.5629538,10.85495665,81.27643766,12.72624861,82.93655967,66.01804012,3.601152662,17.72558824,1.048619439,72.91105721,81.53329377,9.636167758,46.18896461,96.90616977,94.06993656,74.54467636,50.7967063,2.771966665,15.70547061,1.421031594,34.26905182,5.366503343,17.92998745,49.83274463,3.102463626,4.985176611,3.689374211,30.74001736,1.372262678
9.021647871,2.49693834,1.613919345,67.98154959,23.08063548,21.92681889,77.16766345,1.138926577,1.159933267,61.82725542,1.037982556,47.6739486,92.00044453,2.522954861,67.22352486,62.48005701,77.26362955,85.67573023,51.51691145,3.882634221,29.17817313,4.252129836,61.55172277,6.498295174,24.71274929,80.05170739,8.456563235,1.688789468,4.163242568,23.10947182,1.845814355
9.733494161,3.195865233,51.5342854,71.76068348,99.75387817,20.65509915,76.71476801,98.6719159,2.749098654,34.95933372,1.043028985,35.48148382,94.36592189,7.412539044,33.2679456,92.73080777,51.35017129,21.96320294,73.75543397,4.591262819,21.89949025,1.466595114,59.45598398,58.94545588,72.41782368,96.51859851,1.421984018,8.467997887,1.155601556,35.74044626,2.25143042
7.286070419,1.932237471,60.04942748,66.19145265,9.438535134,86.51486737,95.70604123,27.26872381,3.877793729,6.633505553,1.887189572,23.61802948,84.13391551,2.549596507,41.59398813,61.42753318,69.87652717,53.68449442,23.9919499,1.28269557,8.108516337,1.567194218,72.68077878,95.03565961,49.78779259,50.83780981,8.615081639,5.402710769,9.028628893,34.77174576,2.480553897
5.857248954,4.464278074,98.86268308,90.68309224,99.72941949,51.09903642,73.54867168,65.57107274,4.45043538,36.5487427,1.99528293,89.07578926,5.090448256,9.216753534,88.26106421,80.3751585,57.45462467,65.53209751,68.80003715,1.625588165,11.66730132,4.067206765,96.91709544,1.543344839,5.091878952,66.10796063,1.109603263,2.537279712,5.544141681,36.38810011,2.915977763
8.480776913,3.989982279,53.19528314,49.3078787,35.72447187,85.68217002,85.01836706,38.33901406,4.96439664,51.47254521,1.211986841,74.72767379,72.84314364,9.617516647,73.22879428,67.86964399,93.18469239,27.38745612,38.98035221,2.24667129,9.450278911,4.480424757,73.56228505,51.49826917,50.64721898,74.35709063,8.520960803,7.284928115,2.703311325,33.14663626,1.898964595
6.76232587,1.148764478,28.49737961,88.88702607,58.20733974,68.40721838,59.34616863,34.41779457,2.259759305,95.04008822,1.348109103,61.64842716,57.36104683,6.771650421,64.77982283,58.62366576,79.6352713,54.84910097,50.15504128,1.443335187,21.26923711,4.235916125,86.83039694,94.51930055,4.617843895,60.85199756,1.169038698,5.906860055,1.440844813,28.19498665,2.080584756
0.650683307,2.628256745,71.59414889,49.99393138,74.41829651,13.44962287,61.76439988,99.23470487,1.026593429,99.94865057,1.585887472,83.72356309,11.63395415,4.30199529,89.46707985,75.67348941,92.68191612,31.26539389,46.66939891,2.573243128,42.25276863,2.849712719,90.54739316,49.77709135,79.29078548,80.12030108,8.749084388,3.887658139,7.894711579,30.52078987,1.619024317
6.897601257,2.316531649,17.33573875,45.48091588,44.58661772,59.16705083,72.57737837,84.44041349,2.191881105,66.51316161,1.14481579,38.02742785,69.86408511,7.741366143,31.78293549,99.46001286,55.92161094,69.51047682,71.97197498,4.892221031,31.86293151,2.316178971,82.91517139,92.56719041,92.25548657,88.03922723,1.066724162,4.865124706,8.140421115,17.13898927,2.042384232
6.925662869,4.908814439,11.3484397,54.58196724,15.88418639,37.91153953,64.03281577,62.34312108,2.581157162,36.00889494,1.055618037,59.90178947,41.27678469,5.973934837,97.08921529,86.4570507,78.83647959,43.64125945,54.9498121,2.727477649,40.58038364,3.621824628,85.91084646,81.25020609,78.85279901,90.44503692,3.265718399,9.277796888,3.082536257,34.43414025,2.726733975
2.693843113,2.247195332,66.8414994,76.04033248,21.10426248,42.43383778,63.23320171,21.94349308,3.217052609,69.80108684,1.921229916,3.070853759,33.64108011,7.219538802,95.00007852,64.898021,60.74493851,35.8622679,62.72350488,3.554299562,32.24610183,2.541569887,89.8294255,71.73863225,92.42661486,75.19127576,2.642985018,5.93516265,4.041991968,23.16152081,2.108970098
2.082110234,2.5423679,68.23003925,10.71986397,26.85431859,89.7327815,84.52001637,54.11947313,1.850758279,71.55186645,1.295074535,47.75625175,99.19330042,9.053408378,49.57105712,76.66721199,63.99692429,84.0089574,14.30893249,1.009833814,9.640188513,2.003156057,82.2534447,34.05800226,11.42382434,65.35712321,1.446860147,2.923550745,6.637970892,19.23737903,2.094880781
8.78879067,2.433745668,18.32325084,28.60009982,51.87821722,97.29110871,69.75385884,52.20831794,3.928931271,36.63443162,1.628022902,8.13976699,57.6363437,8.482606482,76.48199063,55.07703679,71.84800726,93.6770392,1.048182322,2.809466086,4.049152174,2.022014303,71.45901784,96.47371257,32.15107062,93.94494811,7.785737181,7.310426443,8.942002429,15.8776433,2.825225984
7.025161973,1.66535927,79.40491478,14.96876832,67.78260054,83.55238587,74.07535484,31.84367364,1.456829259,46.02473226,1.377171501,34.06337239,32.55242758,6.493206627,34.14528514,45.9190037,88.72866522,22.88999481,63.50172762,4.298553185,42.08898532,2.633292083,22.35330653,18.49453281,50.54811547,95.01504031,3.569339527,8.413828735,9.466018177,16.0566368,2.93045545
3.033132331,3.123500673,79.08888764,94.33459123,19.75357531,23.53348777,80.95179848,73.10760934,3.953546721,39.92295705,1.299132198,42.30115742,25.67231351,3.525216606,69.33449334,83.30971219,81.22895003,76.04180352,48.51324633,3.926487622,35.90914378,2.502007059,86.41020038,36.78828971,23.35881573,88.25637671,5.660827141,3.799805954,6.097015305,27.76137577,2.329400386
7.335174775,1.08421369,56.05028824,48.57717228,3.572086773,48.23251509,71.52806971,97.10652444,2.141056035,33.77069689,1.522664128,46.01736986,43.44232468,3.382226996,52.79441607,74.11710811,85.55025521,23.26616709,2.933853197,1.674026205,17.80977754,4.678437681,68.62302788,57.39328222,23.76797698,95.21022607,1.624889222,4.857298136,3.754216756,33.24940316,2.625045262
6.377881705,4.934218727,10.542231,86.9700408,13.90424014,5.385895695,69.49206781,54.61993108,1.31710976,43.06212277,1.004481675,3.271648371,78.6814418,6.908637558,54.75559145,96.40943918,94.63111581,82.23074974,37.15775169,3.442763604,48.07611988,4.808157094,87.17900677,37.71045052,11.55893156,90.84935462,2.506260661,8.569775591,1.129339233,16.76578201,2.231843451
9.324059757,4.05963507,67.81466508,67.56880407,69.53150563,5.137650164,70.41610028,42.2666409,2.610293585,10.31333734,1.187486529,41.23124883,6.76768827,4.699857232,46.84694991,56.8859497,56.43972253,11.52826346,65.97816371,3.373162613,29.08332159,2.770560624,85.27091185,19.36924979,20.59874657,44.00237338,3.534735009,1.480419203,6.53584771,16.26322295,1.70630249
4.111479297,1.858133328,9.472109759,33.8391828,89.51605398,33.62635267,56.29654426,4.842335119,2.438272786,6.256190266,1.047472975,55.73486918,56.98800247,4.13405409,35.62333166,45.25343415,83.24621,40.62901905,37.5655531,3.152723062,24.91049133,1.516855083,72.18734818,83.6134952,2.609887159,93.32450672,2.95057945,3.482370813,5.947333346,23.70754064,2.454117301
4.677532374,3.177818189,49.51816333,20.49509513,89.08726536,50.78828064,59.05306446,51.76612041,3.962709147,15.2534922,1.082551754,80.25813215,4.368573029,3.770308459,34.64820322,74.83328619,62.87992841,45.782876,77.64185776,1.258953127,26.79603764,3.805703248,71.26530692,89.02274942,78.7446725,65.39650892,6.547902815,9.46344188,2.659863211,23.93394074,1.262316972
8.075823377,2.264190635,27.31029982,70.05128847,26.64472423,75.07864401,62.50137437,31.73514112,2.945873342,88.32375513,1.691624575,24.54359814,29.55201169,8.836090347,70.15759726,99.40450724,67.21114236,46.46906683,29.80762863,4.457116792,47.86009256,4.675130655,36.48426392,6.950880639,78.3673028,68.80478915,5.595837725,3.483256954,7.712134767,27.33133193,1.033087572
3.149664051,2.327300389,97.99629281,15.67792086,42.89156985,43.50298935,79.90619055,84.17431904,1.471122383,44.46931302,1.968214865,24.78694552,94.69221528,5.521363251,79.95666562,71.29515892,58.53205175,49.96366229,19.49091813,4.177105968,18.47666999,3.661836718,71.79906731,58.23380227,19.49773924,78.43160062,9.12039021,9.975197799,1.325278733,24.22865905,2.526625514
8.47683179,3.892556048,75.5920379,55.96099022,63.81448135,88.84993381,56.0826167,23.90647443,4.093975278,6.651456954,1.686855397,33.43260583,8.759466805,8.02127674,90.45689857,72.29137781,74.45221303,63.76718832,9.077647362,3.368340939,32.9388671,4.978728741,45.09107048,19.549856,53.07688965,57.59007238,2.530370216,4.109170578,5.715905435,31.32335381,2.813478916
2.150374374,4.538433258,41.33968761,92.68895468,39.1407693,58.52772137,54.13106121,78.72785207,3.481633883,67.3327639,1.350365678,90.95213561,52.35650866,5.884450567,66.70758269,47.7462718,56.67468194,41.16478304,70.04353107,2.562068224,22.5825677,1.343739635,74.31568077,70.08388701,91.39396357,89.44601833,9.039142753,6.274435147,5.812434967,15.1949983,1.685199892
3.199320744,3.73151545,55.19966575,9.36009538,15.27857421,19.65425332,67.53379999,56.29108663,2.950939043,84.48662646,1.568136839,99.20143886,7.200964367,9.434354014,74.80455177,42.68417095,80.98181101,81.09649764,35.55333049,2.240284862,16.12775939,4.442575962,35.87460921,65.29395436,76.96035464,99.80251665,8.851779577,6.628575357,7.221374332,31.52837952,1.827233058
3.073316471,1.783938722,78.29684595,57.98056172,49.47785301,46.54385216,62.19982367,99.98639311,4.815063388,89.67045887,1.648346669,80.42779418,32.97313417,8.278588456,63.4617188,41.16562269,93.75037228,15.14580842,42.8805571,3.420399445,12.84675527,4.43404584,38.76351011,77.4810396,20.78659254,50.24311882,5.814959774,6.82901732,3.835590236,37.65333971,2.018697623
5.657704255,3.114228407,10.37439216,87.4082191,92.65935229,39.04348932,56.49711898,30.26107765,4.603104,68.08946683,1.25237363,31.25074905,18.3965382,4.727168456,76.31309412,58.54277701,69.21737482,36.4598596,30.21796487,2.401883765,25.26535915,2.647001001,53.90659538,77.28515768,85.08275738,53.32439252,8.879935059,1.74770714,6.702522168,36.30710511,2.807019903
1.855267111,2.707529865,32.47355059,46.62185414,20.72951366,89.90860815,97.0969224,7.622928089,4.159563157,86.99127633,1.631488764,3.980650915,74.72192175,3.64292518,86.47158321,58.5359372,69.52718118,46.96806038,11.49334024,1.051735042,9.518529991,4.273260016,60.34277959,39.488237,59.14971384,63.27403851,9.650219982,7.494162454,4.437126447,18.64448563,2.940199705
6.2193833,3.413583078,39.17859824,6.982569598,16.92951269,55.61652555,64.78332456,41.60474789,4.601601552,7.194435827,1.44399456,62.49892007,89.43330385,6.777154698,35.9189506,69.47169127,97.8327424,93.57405388,10.73496473,3.040319457,43.49825982,3.725190383,56.11799326,1.270145546,78.15755323,85.71662116,7.828362467,1.906042314,5.092673785,26.96419734,2.728391093
1.457066864,2.187941331,75.8959328,66.12541461,32.89243387,33.58173849,96.46794599,94.33023583,1.829896581,37.11130073,1.852903101,81.42774649,62.2429065,9.630794343,94.60796747,49.21678365,98.34881854,53.20734884,38.221924,4.814119108,27.42734478,4.020543714,91.3728739,46.92195336,79.04247994,82.56134226,4.473365718,9.806596046,5.062897005,23.52884072,2.379158856
3.872065148,2.157630687,71.10564042,90.09136982,54.29553081,82.7698392,96.73909378,90.53114519,3.208615572,76.20058951,1.379970228,52.21868661,5.266573801,3.301599542,45.44796892,52.09007026,73.43823734,32.02976245,54.38183696,2.695603837,3.568162068,1.73698798,68.06926744,57.49713411,66.9611106,42.79374199,4.744595419,5.71778495,8.145616338,35.6540052,2.156868406
4.249679119,2.083466079,4.211250274,94.50780434,48.06830844,52.95808588,64.29538897,7.026235651,2.178637892,5.569752881,1.565905214,59.22863435,35.04914897,7.53360714,53.09173491,41.88295275,92.57300747,68.73514781,39.58232837,2.404974129,45.75882033,4.88052919,71.35893078,18.90066291,88.63624473,68.4890872,2.393030584,2.33439593,2.992237962,39.72131433,2.089245454
5.295637165,2.728392394,92.50465494,2.521826372,28.96138577,36.09344676,94.26731406,41.94953447,2.172878643,52.0700763,1.129731629,93.79836175,1.329835765,4.491557836,63.23670648,78.86857404,90.99915051,42.51424059,42.92209164,3.486684815,5.811235823,4.625949138,64.316392,10.94939101,39.29503775,46.17396123,5.036134665,7.053663567,6.060497206,38.42267767,2.375500877
4.877572395,4.188442296,31.37832106,98.12970663,26.96500072,96.9007265,74.77321454,14.14446171,4.162643381,51.19806111,1.152437148,81.61670154,62.7640994,5.383255111,35.87556601,79.06992078,70.60617265,92.73677063,23.92146905,3.624567402,45.51782546,2.447632808,62.1193738,21.74726689,42.38934124,54.3540072,4.324257072,3.66821952,7.988796001,38.46908003,1.042003528
7.505987459,4.28875691,40.28523132,56.25461668,9.902889219,26.21278366,74.44308382,1.501804503,2.242473031,42.53392279,1.925817363,18.41925651,85.69028472,2.84604318,47.81974717,62.16698406,61.76695147,36.78212415,47.87591986,4.542272552,25.58548588,2.994235849,55.05060037,79.92034667,83.25572007,87.55029231,1.689827811,2.24668128,8.352032831,37.42653341,1.339316842
5.570063884,3.215825296,92.22293385,99.89242271,86.77881837,36.60931278,65.42337394,77.54409878,1.025751652,67.31456921,1.575457813,67.31745198,7.239646074,4.115565504,34.10117386,91.6569894,84.59456701,57.61190673,4.699688433,1.782771561,42.01273874,3.281702587,68.53588349,29.66272766,85.18667513,81.81645074,4.892995568,8.03476259,8.55847484,28.58831065,1.493761773
2.652194978,2.654602844,90.54035967,72.03148314,69.54549685,51.94455434,73.97444784,74.78136921,4.760879448,5.904745332,1.576391413,84.64318865,26.05242749,8.782840663,80.90765293,70.14336561,67.79326509,44.09641841,70.56223025,1.250518892,22.07785769,2.722847673,53.98852071,52.51767713,48.65284704,63.28549385,8.754457032,8.489430565,7.876851732,21.40447815,2.615962675
4.805627245,3.675727729,73.86672326,58.09682275,43.23619618,85.06438535,95.44588468,87.04904144,4.189039459,99.81457028,1.402993622,37.13127474,73.41761267,5.339765024,88.41717726,89.32360916,92.3260592,85.21870965,63.48575713,3.805094212,41.76035102,1.230101325,25.80874575,15.57792874,43.96848371,62.54832568,2.891685436,8.805711325,5.341156261,34.38393603,1.959176068
2.039457392,4.357553809,74.3211667,48.31228258,22.25948136,32.46598398,95.20134484,94.13083516,1.5326986,13.64195024,1.021925023,84.88744472,55.16348757,5.455142392,35.39123945,93.37342765,64.01168703,43.5488132,64.64896682,1.326247055,13.53524937,1.181314826,71.10394453,85.19675018,67.86799851,98.96143588,2.239325937,4.559402576,6.807296581,36.86296995,1.463561702
9.043495658,1.702340836,96.28681516,38.60105223,82.78702152,13.12652389,57.82504146,76.14779978,1.086510375,39.49126507,1.804753946,26.0333735,17.98798355,8.345744222,59.75638268,73.928061,55.70344025,14.98555762,36.99063238,2.219780286,6.184795033,3.99260871,57.35785913,75.41838004,78.28279497,83.75807584,3.207325165,7.879945097,1.009378019,19.88932522,2.718574682
6.327565553,2.455273913,78.77032811,57.63863145,23.67642098,7.331137393,99.30146199,19.68355715,4.888006906,20.29496302,1.370772733,47.32918402,97.66900597,9.167691417,46.39134493,48.77643154,94.29917704,55.79660846,75.54400531,2.219499545,8.178302792,2.360592448,54.80718306,93.5426004,56.89336939,49.4816253,7.779930121,5.91526942,6.191317373,22.70565907,2.498147215
9.572968253,2.238749578,81.11182617,39.4552015,60.17949192,84.25528159,72.10586923,2.325666674,2.230063619,66.28928798,1.31419994,6.164967474,37.69059576,5.529122985,66.66371459,41.22297819,67.49546775,96.72847757,4.991797442,1.307420863,48.89279191,3.05374702,49.58408337,61.3730739,70.73984574,51.47941681,2.464942755,2.436556855,2.270272535,35.34538184,2.332190737
9.713819597,3.624129462,96.22764913,25.61096599,17.03811331,40.6623665,59.70788739,37.50033263,1.090917314,82.95984152,1.10246641,92.41945568,13.95634912,4.401789232,35.80871012,73.46163015,91.55004721,37.00033154,41.08829288,3.689573905,34.51801343,1.994671608,98.60270435,26.78423141,22.86847659,64.50057917,4.97732417,1.644877019,7.64028176,19.16467507,2.848232838
3.154155741,1.911414504,56.06864969,5.568993149,80.3129747,83.81666921,99.27525515,74.69699141,2.049273195,86.69392499,1.900515353,20.98119896,91.74454808,3.721090024,36.36552041,85.34429108,62.74732772,97.93477068,32.94223708,3.000118888,7.488474398,1.362471034,21.6226223,49.0822862,62.00514137,86.49293672,1.124964828,9.763488598,6.538729556,32.44268918,1.909519958
0.758385127,4.871296773,30.09310538,69.08560637,18.36646795,90.0976393,72.67028833,38.869473,4.72600086,23.92693615,1.537795133,61.3965883,13.09614516,7.286832907,48.74907389,54.62889386,84.10666428,41.45266311,27.59567051,2.008845966,26.23612773,2.25038014,71.10079221,13.87991851,67.17540936,44.14748554,3.175261465,5.180821243,5.701455129,30.27665105,1.461410232
1.335572554,2.148170815,72.01590658,24.40452566,15.27878164,26.78372746,93.59333011,14.83249622,2.70569567,74.20874839,1.924101597,83.07954406,41.2128664,8.672455968,63.55874373,50.11076601,73.74523142,58.14609501,58.23129222,3.368909128,46.72292521,2.076075017,20.43863802,97.26860451,21.28420122,45.45856604,9.525126124,3.597916878,5.958532823,37.99424818,1.296263293
6.13628032,1.554379531,28.61769315,54.36685789,78.49544108,25.18060303,88.36790977,65.55052805,3.199581272,46.08874054,1.589692972,59.09940159,66.6890384,7.465559623,31.02396135,84.1433508,91.25214219,48.13738291,55.46257793,1.219779224,17.6606354,3.933084709,66.28087504,80.24867599,40.98177869,66.40616467,9.684539829,5.348655833,2.243822979,38.97613426,2.822550362
4.069578207,2.875234201,26.72761388,92.2086834,17.16270085,48.37205566,52.39645688,80.59533863,1.392218463,3.245620927,1.709213751,42.14099826,98.5808835,3.478451051,70.50881931,44.42112121,86.21247673,37.78531845,6.959678255,3.373128552,27.37036752,1.091780811,37.13602319,1.541306512,26.34095308,77.4190853,2.959183587,6.968492714,8.558673495,39.05868915,2.325379859
2.780580152,4.776627292,90.04861063,11.9582518,56.11070297,17.72244475,76.40298541,51.48824092,4.791922175,33.9076222,1.528052375,99.86877388,64.96253715,7.121476286,43.80341242,96.66186767,97.70648663,10.31507758,22.25376418,3.570424923,1.478814599,2.621292763,93.5850816,25.0566192,37.37993918,56.28797489,6.843614606,1.20145397,7.293607715,17.8702708,2.228291565
3.363461934,3.35172056,95.89480366,97.91366122,59.54760551,10.86910661,53.30487085,92.1523812,2.117080467,59.35072021,1.370822815,26.95005537,54.11177735,6.865807747,45.52781252,87.95833982,55.02597045,75.41062004,28.96910106,3.298678968,10.45226737,1.683709884,90.75459006,63.73967036,44.51769041,91.99423415,6.028216186,1.577105512,5.859545278,16.29213936,2.019971924
0.184739758,4.388148462,80.85886289,60.58414413,47.40907733,57.85730613,71.14700873,12.17000769,2.659397141,47.86522626,1.067365349,54.15130857,73.64543135,9.805916222,47.46013873,94.3096922,70.89526098,54.49652514,7.857483507,2.473560349,22.24260524,2.863198504,80.88820915,54.10574263,56.15165158,40.47781662,2.327017891,6.009996647,1.656539563,15.69416941,1.312655462
5.045560022,3.098499086,62.0194329,74.88208453,30.75173674,20.44265837,73.86848703,38.79374674,1.602125299,46.4147789,1.465251485,41.6789127,62.73510272,5.880943544,69.00424343,74.03118317,71.30261932,78.88150702,40.51710592,3.571568951,48.11368905,2.604470202,66.6538265,14.51271501,50.04881777,75.19148332,3.05009554,6.710471476,6.162868693,32.25909203,1.533170643
3.643512564,3.591406954,85.31961388,71.1305983,74.31587643,85.99978333,99.10618532,84.7169158,3.17357281,72.30360117,1.772177711,58.69182766,52.7409836,7.603798737,62.95643962,44.32456394,55.56068268,71.43984752,64.4856641,2.836668491,43.94784416,3.545095961,57.4766079,63.89933729,63.0300467,51.70545711,9.711130189,1.69025276,4.93487769,26.33952935,1.357002735
9.136450444,2.532192825,55.94164542,56.09234222,57.65348294,53.59894135,94.10099755,48.69237407,2.34680284,29.64741203,1.110513633,99.46318623,79.52125835,8.921790966,76.41104947,75.34953906,55.1352969,77.13985405,27.20381203,1.792883273,34.77072175,3.695763438,38.54069373,69.21462031,92.35024654,75.28877344,3.254335126,6.853382197,2.99338287,37.87146357,1.719357087
3.224954944,4.218407982,62.62150556,83.87557872,91.38732356,6.42586622,65.84013356,27.51206147,4.233964772,26.21331362,1.307762082,16.79243586,59.89707003,7.738260143,63.67133844,54.48729593,83.48034373,65.10103527,39.47215394,1.555621167,10.78896653,4.197090678,83.08651192,62.00323666,97.9674178,70.94925181,9.353052281,9.691144443,7.693267055,30.4450376,1.062269245
4.065189438,4.624426183,60.50195458,71.12756464,37.04091323,67.41027208,78.07533411,22.91662081,4.248853269,29.60556026,1.600533758,4.718808078,54.84323849,2.628259383,39.01377263,52.82342579,61.87107114,70.07490237,14.18706493,1.982895647,20.34258257,3.524014766,82.74506186,86.04765421,27.86270139,97.26838807,9.02576492,8.921314829,3.711431365,38.60483695,1.773216916
5.600517465,2.962230453,18.44122306,86.37448092,44.89955485,63.49712982,80.10099076,8.263353649,3.493087897,62.03170876,1.162777889,52.33773557,36.37928449,4.647238252,74.06342132,79.59108577,97.05206115,90.3102392,21.69582375,3.200361474,14.6653968,2.417348271,33.48571866,87.51637056,51.71196544,89.0245716,5.985850307,4.104529917,7.338099273,29.21745046,1.880240726
4.633864261,3.9628102,12.61624831,48.03077758,86.69296378,91.86988746,60.67882696,56.86552933,1.35563091,41.58767782,1.022483255,82.06144438,95.244364,3.123829036,63.89921411,50.91914264,53.5109127,85.24771586,78.99796051,4.750621016,41.29116641,2.632861049,35.63174059,54.62738015,60.5874511,93.9690414,7.987703669,5.734841862,7.159106961,37.30030957,1.867603259
3.799851099,4.873582758,39.57493881,20.84160121,32.26353069,53.71518878,81.2994134,24.901423,3.39849878,13.34821909,1.769333678,7.737278514,92.43586872,4.593726611,36.83369913,61.06518353,85.12238147,62.52244098,30.15228078,2.879757823,42.75081205,3.947886699,23.09673568,94.45148914,19.28341765,98.94186081,5.604465549,8.147102482,8.887662718,24.52762899,2.53292121
2.652327169,1.801595491,98.02026092,15.16765218,67.46154363,22.49975642,74.81411359,92.52519851,4.237116612,94.69866927,1.925421207,98.09930827,45.13494218,6.875193313,51.99631205,95.43375609,85.49470147,20.3383584,75.04327264,1.754585193,15.73248031,4.992622715,58.48979125,13.68730768,73.44900092,65.51109838,3.158939046,5.360100528,4.781417845,34.24105127,2.686483861
